id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,json
3,comment,json,3,documentation,null
4,comment,comment,0,null,block
5,comment,block,1,comment,json
6,comment,json,2,block,null
7,comment,comment,0,null,line
8,comment,line,1,comment,double-slash
9,comment,double-slash,2,line,js
10,comment,js,3,double-slash,null
11,constant,constant,0,null,character
12,constant,character,1,constant,escape
13,constant,escape,2,character,json
14,constant,json,3,escape,null
15,constant,constant,0,null,language
16,constant,language,1,constant,json
17,constant,json,2,language,null
18,constant,constant,0,null,numeric
19,constant,numeric,1,constant,json
20,constant,json,2,numeric,null
21,invalid,invalid,0,null,illegal
22,invalid,illegal,1,invalid,expected-array-separator
23,invalid,expected-array-separator,2,illegal,json
24,invalid,json,3,expected-array-separator,null
25,invalid,invalid,0,null,illegal
26,invalid,illegal,1,invalid,expected-dictionary-separator
27,invalid,expected-dictionary-separator,2,illegal,json
28,invalid,json,3,expected-dictionary-separator,null
29,invalid,invalid,0,null,illegal
30,invalid,illegal,1,invalid,unrecognized-string-escape
31,invalid,unrecognized-string-escape,2,illegal,json
32,invalid,json,3,unrecognized-string-escape,null
33,meta,meta,0,null,structure
34,meta,structure,1,meta,array
35,meta,array,2,structure,json
36,meta,json,3,array,null
37,meta,meta,0,null,structure
38,meta,structure,1,meta,dictionary
39,meta,dictionary,2,structure,json
40,meta,json,3,dictionary,null
41,meta,meta,0,null,structure
42,meta,structure,1,meta,dictionary
43,meta,dictionary,2,structure,value
44,meta,value,3,dictionary,json
45,meta,json,4,value,null
46,punctuation,punctuation,0,null,definition
47,punctuation,definition,1,punctuation,array
48,punctuation,array,2,definition,begin
49,punctuation,begin,3,array,json
50,punctuation,json,4,begin,null
51,punctuation,punctuation,0,null,definition
52,punctuation,definition,1,punctuation,array
53,punctuation,array,2,definition,end
54,punctuation,end,3,array,json
55,punctuation,json,4,end,null
56,punctuation,punctuation,0,null,definition
57,punctuation,definition,1,punctuation,comment
58,punctuation,comment,2,definition,json
59,punctuation,json,3,comment,null
60,punctuation,punctuation,0,null,definition
61,punctuation,definition,1,punctuation,dictionary
62,punctuation,dictionary,2,definition,begin
63,punctuation,begin,3,dictionary,json
64,punctuation,json,4,begin,null
65,punctuation,punctuation,0,null,definition
66,punctuation,definition,1,punctuation,dictionary
67,punctuation,dictionary,2,definition,end
68,punctuation,end,3,dictionary,json
69,punctuation,json,4,end,null
70,punctuation,punctuation,0,null,definition
71,punctuation,definition,1,punctuation,string
72,punctuation,string,2,definition,begin
73,punctuation,begin,3,string,json
74,punctuation,json,4,begin,null
75,punctuation,punctuation,0,null,definition
76,punctuation,definition,1,punctuation,string
77,punctuation,string,2,definition,end
78,punctuation,end,3,string,json
79,punctuation,json,4,end,null
80,punctuation,punctuation,0,null,separator
81,punctuation,separator,1,punctuation,array
82,punctuation,array,2,separator,json
83,punctuation,json,3,array,null
84,punctuation,punctuation,0,null,separator
85,punctuation,separator,1,punctuation,dictionary
86,punctuation,dictionary,2,separator,key-value
87,punctuation,key-value,3,dictionary,json
88,punctuation,json,4,key-value,null
89,punctuation,punctuation,0,null,separator
90,punctuation,separator,1,punctuation,dictionary
91,punctuation,dictionary,2,separator,pair
92,punctuation,pair,3,dictionary,json
93,punctuation,json,4,pair,null
94,punctuation,punctuation,0,null,support
95,punctuation,support,1,punctuation,type
96,punctuation,type,2,support,property-name
97,punctuation,property-name,3,type,begin
98,punctuation,begin,4,property-name,json
99,punctuation,json,5,begin,null
100,punctuation,punctuation,0,null,support
101,punctuation,support,1,punctuation,type
102,punctuation,type,2,support,property-name
103,punctuation,property-name,3,type,end
104,punctuation,end,4,property-name,json
105,punctuation,json,5,end,null
106,string,string,0,null,json
107,string,json,1,string,null
108,string,string,0,null,quoted
109,string,quoted,1,string,double
110,string,double,2,quoted,json
111,string,json,3,double,null
112,support,support,0,null,type
113,support,type,1,support,property-name
114,support,property-name,2,type,json
115,support,json,3,property-name,null
