id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,html
2,comment,html,2,block,null
3,comment,comment,0,null,frontmatter
4,comment,frontmatter,1,comment,null
5,constant,constant,0,null,character
6,constant,character,1,constant,escape
7,constant,escape,2,character,markdown
8,constant,markdown,3,escape,null
9,constant,constant,0,null,other
10,constant,other,1,constant,reference
11,constant,reference,2,other,link
12,constant,link,3,reference,markdown
13,constant,markdown,4,link,null
14,entity,entity,0,null,name
15,entity,name,1,entity,section
16,entity,section,2,name,markdown
17,entity,markdown,3,section,null
18,entity,entity,0,null,name
19,entity,name,1,entity,tag
20,entity,tag,2,name,html
21,entity,html,3,tag,null
22,fenced_code,fenced_code,0,null,block
23,fenced_code,block,1,fenced_code,language
24,fenced_code,language,2,block,null
25,fenced_code,fenced_code,0,null,block
26,fenced_code,block,1,fenced_code,language
27,fenced_code,language,2,block,attributes
28,fenced_code,attributes,3,language,markdown
29,fenced_code,markdown,4,attributes,null
30,fenced_code,fenced_code,0,null,block
31,fenced_code,block,1,fenced_code,language
32,fenced_code,language,2,block,markdown
33,fenced_code,markdown,3,language,null
34,heading,heading,0,null,1
35,heading,1,1,heading,markdown
36,heading,markdown,2,1,null
37,heading,heading,0,null,2
38,heading,2,1,heading,markdown
39,heading,markdown,2,2,null
40,heading,heading,0,null,3
41,heading,3,1,heading,markdown
42,heading,markdown,2,3,null
43,heading,heading,0,null,4
44,heading,4,1,heading,markdown
45,heading,markdown,2,4,null
46,heading,heading,0,null,5
47,heading,5,1,heading,markdown
48,heading,markdown,2,5,null
49,heading,heading,0,null,6
50,heading,6,1,heading,markdown
51,heading,markdown,2,6,null
52,markup,markup,0,null,bold
53,markup,bold,1,markup,markdown
54,markup,markdown,2,bold,null
55,markup,markup,0,null,fenced_code
56,markup,fenced_code,1,markup,block
57,markup,block,2,fenced_code,markdown
58,markup,markdown,3,block,null
59,markup,markup,0,null,heading
60,markup,heading,1,markup,markdown
61,markup,markdown,2,heading,null
62,markup,markup,0,null,heading
63,markup,heading,1,markup,setext
64,markup,setext,2,heading,1
65,markup,1,3,setext,markdown
66,markup,markdown,4,1,null
67,markup,markup,0,null,heading
68,markup,heading,1,markup,setext
69,markup,setext,2,heading,2
70,markup,2,3,setext,markdown
71,markup,markdown,4,2,null
72,markup,markup,0,null,inline
73,markup,inline,1,markup,raw
74,markup,raw,2,inline,string
75,markup,string,3,raw,markdown
76,markup,markdown,4,string,null
77,markup,markup,0,null,italic
78,markup,italic,1,markup,markdown
79,markup,markdown,2,italic,null
80,markup,markup,0,null,list
81,markup,list,1,markup,numbered
82,markup,numbered,2,list,markdown
83,markup,markdown,3,numbered,null
84,markup,markup,0,null,list
85,markup,list,1,markup,unnumbered
86,markup,unnumbered,2,list,markdown
87,markup,markdown,3,unnumbered,null
88,markup,markup,0,null,quote
89,markup,quote,1,markup,markdown
90,markup,markdown,2,quote,null
91,markup,markup,0,null,raw
92,markup,raw,1,markup,block
93,markup,block,2,raw,markdown
94,markup,markdown,3,block,null
95,markup,markup,0,null,strikethrough
96,markup,strikethrough,1,markup,markdown
97,markup,markdown,2,strikethrough,null
98,markup,markup,0,null,table
99,markup,table,1,markup,markdown
100,markup,markdown,2,table,null
101,markup,markup,0,null,underline
102,markup,underline,1,markup,link
103,markup,link,2,underline,image
104,markup,image,3,link,markdown
105,markup,markdown,4,image,null
106,markup,markup,0,null,underline
107,markup,underline,1,markup,link
108,markup,link,2,underline,markdown
109,markup,markdown,3,link,null
110,meta,meta,0,null,embedded
111,meta,embedded,1,meta,block
112,meta,block,2,embedded,bibtex
113,meta,bibtex,3,block,null
114,meta,meta,0,null,embedded
115,meta,embedded,1,meta,block
116,meta,block,2,embedded,c
117,meta,c,3,block,null
118,meta,meta,0,null,embedded
119,meta,embedded,1,meta,block
120,meta,block,2,embedded,clojure
121,meta,clojure,3,block,null
122,meta,meta,0,null,embedded
123,meta,embedded,1,meta,block
124,meta,block,2,embedded,coffee
125,meta,coffee,3,block,null
126,meta,meta,0,null,embedded
127,meta,embedded,1,meta,block
128,meta,block,2,embedded,cpp
129,meta,cpp,3,block,null
130,meta,meta,0,null,embedded
131,meta,embedded,1,meta,block
132,meta,block,2,embedded,csharp
133,meta,csharp,3,block,null
134,meta,meta,0,null,embedded
135,meta,embedded,1,meta,block
136,meta,block,2,embedded,css
137,meta,css,3,block,null
138,meta,meta,0,null,embedded
139,meta,embedded,1,meta,block
140,meta,block,2,embedded,dart
141,meta,dart,3,block,null
142,meta,meta,0,null,embedded
143,meta,embedded,1,meta,block
144,meta,block,2,embedded,diff
145,meta,diff,3,block,null
146,meta,meta,0,null,embedded
147,meta,embedded,1,meta,block
148,meta,block,2,embedded,dockerfile
149,meta,dockerfile,3,block,null
150,meta,meta,0,null,embedded
151,meta,embedded,1,meta,block
152,meta,block,2,embedded,dosbatch
153,meta,dosbatch,3,block,null
154,meta,meta,0,null,embedded
155,meta,embedded,1,meta,block
156,meta,block,2,embedded,elixir
157,meta,elixir,3,block,null
158,meta,meta,0,null,embedded
159,meta,embedded,1,meta,block
160,meta,block,2,embedded,erlang
161,meta,erlang,3,block,null
162,meta,meta,0,null,embedded
163,meta,embedded,1,meta,block
164,meta,block,2,embedded,frontmatter
165,meta,frontmatter,3,block,null
166,meta,meta,0,null,embedded
167,meta,embedded,1,meta,block
168,meta,block,2,embedded,fsharp
169,meta,fsharp,3,block,null
170,meta,meta,0,null,embedded
171,meta,embedded,1,meta,block
172,meta,block,2,embedded,git_commit
173,meta,git_commit,3,block,null
174,meta,meta,0,null,embedded
175,meta,embedded,1,meta,block
176,meta,block,2,embedded,git_rebase
177,meta,git_rebase,3,block,null
178,meta,meta,0,null,embedded
179,meta,embedded,1,meta,block
180,meta,block,2,embedded,go
181,meta,go,3,block,null
182,meta,meta,0,null,embedded
183,meta,embedded,1,meta,block
184,meta,block,2,embedded,groovy
185,meta,groovy,3,block,null
186,meta,meta,0,null,embedded
187,meta,embedded,1,meta,block
188,meta,block,2,embedded,handlebars
189,meta,handlebars,3,block,null
190,meta,meta,0,null,embedded
191,meta,embedded,1,meta,block
192,meta,block,2,embedded,html
193,meta,html,3,block,null
194,meta,meta,0,null,embedded
195,meta,embedded,1,meta,block
196,meta,block,2,embedded,ini
197,meta,ini,3,block,null
198,meta,meta,0,null,embedded
199,meta,embedded,1,meta,block
200,meta,block,2,embedded,java
201,meta,java,3,block,null
202,meta,meta,0,null,embedded
203,meta,embedded,1,meta,block
204,meta,block,2,embedded,javascript
205,meta,javascript,3,block,null
206,meta,meta,0,null,embedded
207,meta,embedded,1,meta,block
208,meta,block,2,embedded,js_regexp
209,meta,js_regexp,3,block,null
210,meta,meta,0,null,embedded
211,meta,embedded,1,meta,block
212,meta,block,2,embedded,json
213,meta,json,3,block,null
214,meta,meta,0,null,embedded
215,meta,embedded,1,meta,block
216,meta,block,2,embedded,jsonc
217,meta,jsonc,3,block,null
218,meta,meta,0,null,embedded
219,meta,embedded,1,meta,block
220,meta,block,2,embedded,julia
221,meta,julia,3,block,null
222,meta,meta,0,null,embedded
223,meta,embedded,1,meta,block
224,meta,block,2,embedded,latex
225,meta,latex,3,block,null
226,meta,meta,0,null,embedded
227,meta,embedded,1,meta,block
228,meta,block,2,embedded,less
229,meta,less,3,block,null
230,meta,meta,0,null,embedded
231,meta,embedded,1,meta,block
232,meta,block,2,embedded,log
233,meta,log,3,block,null
234,meta,meta,0,null,embedded
235,meta,embedded,1,meta,block
236,meta,block,2,embedded,lua
237,meta,lua,3,block,null
238,meta,meta,0,null,embedded
239,meta,embedded,1,meta,block
240,meta,block,2,embedded,makefile
241,meta,makefile,3,block,null
242,meta,meta,0,null,embedded
243,meta,embedded,1,meta,block
244,meta,block,2,embedded,markdown
245,meta,markdown,3,block,null
246,meta,meta,0,null,embedded
247,meta,embedded,1,meta,block
248,meta,block,2,embedded,objc
249,meta,objc,3,block,null
250,meta,meta,0,null,embedded
251,meta,embedded,1,meta,block
252,meta,block,2,embedded,perl
253,meta,perl,3,block,null
254,meta,meta,0,null,embedded
255,meta,embedded,1,meta,block
256,meta,block,2,embedded,perl6
257,meta,perl6,3,block,null
258,meta,meta,0,null,embedded
259,meta,embedded,1,meta,block
260,meta,block,2,embedded,php
261,meta,php,3,block,null
262,meta,meta,0,null,embedded
263,meta,embedded,1,meta,block
264,meta,block,2,embedded,powershell
265,meta,powershell,3,block,null
266,meta,meta,0,null,embedded
267,meta,embedded,1,meta,block
268,meta,block,2,embedded,pug
269,meta,pug,3,block,null
270,meta,meta,0,null,embedded
271,meta,embedded,1,meta,block
272,meta,block,2,embedded,python
273,meta,python,3,block,null
274,meta,meta,0,null,embedded
275,meta,embedded,1,meta,block
276,meta,block,2,embedded,r
277,meta,r,3,block,null
278,meta,meta,0,null,embedded
279,meta,embedded,1,meta,block
280,meta,block,2,embedded,regexp_python
281,meta,regexp_python,3,block,null
282,meta,meta,0,null,embedded
283,meta,embedded,1,meta,block
284,meta,block,2,embedded,ruby
285,meta,ruby,3,block,null
286,meta,meta,0,null,embedded
287,meta,embedded,1,meta,block
288,meta,block,2,embedded,rust
289,meta,rust,3,block,null
290,meta,meta,0,null,embedded
291,meta,embedded,1,meta,block
292,meta,block,2,embedded,scala
293,meta,scala,3,block,null
294,meta,meta,0,null,embedded
295,meta,embedded,1,meta,block
296,meta,block,2,embedded,scss
297,meta,scss,3,block,null
298,meta,meta,0,null,embedded
299,meta,embedded,1,meta,block
300,meta,block,2,embedded,shellscript
301,meta,shellscript,3,block,null
302,meta,meta,0,null,embedded
303,meta,embedded,1,meta,block
304,meta,block,2,embedded,sql
305,meta,sql,3,block,null
306,meta,meta,0,null,embedded
307,meta,embedded,1,meta,block
308,meta,block,2,embedded,swift
309,meta,swift,3,block,null
310,meta,meta,0,null,embedded
311,meta,embedded,1,meta,block
312,meta,block,2,embedded,twig
313,meta,twig,3,block,null
314,meta,meta,0,null,embedded
315,meta,embedded,1,meta,block
316,meta,block,2,embedded,typescript
317,meta,typescript,3,block,null
318,meta,meta,0,null,embedded
319,meta,embedded,1,meta,block
320,meta,block,2,embedded,typescriptreact
321,meta,typescriptreact,3,block,null
322,meta,meta,0,null,embedded
323,meta,embedded,1,meta,block
324,meta,block,2,embedded,vs_net
325,meta,vs_net,3,block,null
326,meta,meta,0,null,embedded
327,meta,embedded,1,meta,block
328,meta,block,2,embedded,xml
329,meta,xml,3,block,null
330,meta,meta,0,null,embedded
331,meta,embedded,1,meta,block
332,meta,block,2,embedded,xsl
333,meta,xsl,3,block,null
334,meta,meta,0,null,embedded
335,meta,embedded,1,meta,block
336,meta,block,2,embedded,yaml
337,meta,yaml,3,block,null
338,meta,meta,0,null,image
339,meta,image,1,meta,inline
340,meta,inline,2,image,markdown
341,meta,markdown,3,inline,null
342,meta,meta,0,null,image
343,meta,image,1,meta,reference
344,meta,reference,2,image,markdown
345,meta,markdown,3,reference,null
346,meta,meta,0,null,link
347,meta,link,1,meta,email
348,meta,email,2,link,lt-gt
349,meta,lt-gt,3,email,markdown
350,meta,markdown,4,lt-gt,null
351,meta,meta,0,null,link
352,meta,link,1,meta,inet
353,meta,inet,2,link,markdown
354,meta,markdown,3,inet,null
355,meta,meta,0,null,link
356,meta,link,1,meta,inline
357,meta,inline,2,link,markdown
358,meta,markdown,3,inline,null
359,meta,meta,0,null,link
360,meta,link,1,meta,reference
361,meta,reference,2,link,def
362,meta,def,3,reference,markdown
363,meta,markdown,4,def,null
364,meta,meta,0,null,link
365,meta,link,1,meta,reference
366,meta,reference,2,link,literal
367,meta,literal,3,reference,markdown
368,meta,markdown,4,literal,null
369,meta,meta,0,null,link
370,meta,link,1,meta,reference
371,meta,reference,2,link,markdown
372,meta,markdown,3,reference,null
373,meta,meta,0,null,other
374,meta,other,1,meta,valid-ampersand
375,meta,valid-ampersand,2,other,markdown
376,meta,markdown,3,valid-ampersand,null
377,meta,meta,0,null,other
378,meta,other,1,meta,valid-bracket
379,meta,valid-bracket,2,other,markdown
380,meta,markdown,3,valid-bracket,null
381,meta,meta,0,null,paragraph
382,meta,paragraph,1,meta,markdown
383,meta,markdown,2,paragraph,null
384,meta,meta,0,null,separator
385,meta,separator,1,meta,markdown
386,meta,markdown,2,separator,null
387,meta,meta,0,null,tag
388,meta,tag,1,meta,structure
389,meta,structure,2,tag,$4
390,meta,$4,3,structure,end
391,meta,end,4,$4,html
392,meta,html,5,end,null
393,punctuation,punctuation,0,null,definition
394,punctuation,definition,1,punctuation,begin
395,punctuation,begin,2,definition,frontmatter
396,punctuation,frontmatter,3,begin,null
397,punctuation,punctuation,0,null,definition
398,punctuation,definition,1,punctuation,bold
399,punctuation,bold,2,definition,markdown
400,punctuation,markdown,3,bold,null
401,punctuation,punctuation,0,null,definition
402,punctuation,definition,1,punctuation,comment
403,punctuation,comment,2,definition,html
404,punctuation,html,3,comment,null
405,punctuation,punctuation,0,null,definition
406,punctuation,definition,1,punctuation,constant
407,punctuation,constant,2,definition,begin
408,punctuation,begin,3,constant,markdown
409,punctuation,markdown,4,begin,null
410,punctuation,punctuation,0,null,definition
411,punctuation,definition,1,punctuation,constant
412,punctuation,constant,2,definition,end
413,punctuation,end,3,constant,markdown
414,punctuation,markdown,4,end,null
415,punctuation,punctuation,0,null,definition
416,punctuation,definition,1,punctuation,constant
417,punctuation,constant,2,definition,markdown
418,punctuation,markdown,3,constant,null
419,punctuation,punctuation,0,null,definition
420,punctuation,definition,1,punctuation,end
421,punctuation,end,2,definition,frontmatter
422,punctuation,frontmatter,3,end,null
423,punctuation,punctuation,0,null,definition
424,punctuation,definition,1,punctuation,heading
425,punctuation,heading,2,definition,markdown
426,punctuation,markdown,3,heading,null
427,punctuation,punctuation,0,null,definition
428,punctuation,definition,1,punctuation,italic
429,punctuation,italic,2,definition,markdown
430,punctuation,markdown,3,italic,null
431,punctuation,punctuation,0,null,definition
432,punctuation,definition,1,punctuation,link
433,punctuation,link,2,definition,description
434,punctuation,description,3,link,begin
435,punctuation,begin,4,description,markdown
436,punctuation,markdown,5,begin,null
437,punctuation,punctuation,0,null,definition
438,punctuation,definition,1,punctuation,link
439,punctuation,link,2,definition,description
440,punctuation,description,3,link,end
441,punctuation,end,4,description,markdown
442,punctuation,markdown,5,end,null
443,punctuation,punctuation,0,null,definition
444,punctuation,definition,1,punctuation,link
445,punctuation,link,2,definition,markdown
446,punctuation,markdown,3,link,null
447,punctuation,punctuation,0,null,definition
448,punctuation,definition,1,punctuation,link
449,punctuation,link,2,definition,title
450,punctuation,title,3,link,begin
451,punctuation,begin,4,title,markdown
452,punctuation,markdown,5,begin,null
453,punctuation,punctuation,0,null,definition
454,punctuation,definition,1,punctuation,link
455,punctuation,link,2,definition,title
456,punctuation,title,3,link,end
457,punctuation,end,4,title,markdown
458,punctuation,markdown,5,end,null
459,punctuation,punctuation,0,null,definition
460,punctuation,definition,1,punctuation,list
461,punctuation,list,2,definition,begin
462,punctuation,begin,3,list,markdown
463,punctuation,markdown,4,begin,null
464,punctuation,punctuation,0,null,definition
465,punctuation,definition,1,punctuation,markdown
466,punctuation,markdown,2,definition,null
467,punctuation,punctuation,0,null,definition
468,punctuation,definition,1,punctuation,metadata
469,punctuation,metadata,2,definition,markdown
470,punctuation,markdown,3,metadata,null
471,punctuation,punctuation,0,null,definition
472,punctuation,definition,1,punctuation,quote
473,punctuation,quote,2,definition,begin
474,punctuation,begin,3,quote,markdown
475,punctuation,markdown,4,begin,null
476,punctuation,punctuation,0,null,definition
477,punctuation,definition,1,punctuation,raw
478,punctuation,raw,2,definition,markdown
479,punctuation,markdown,3,raw,null
480,punctuation,punctuation,0,null,definition
481,punctuation,definition,1,punctuation,strikethrough
482,punctuation,strikethrough,2,definition,markdown
483,punctuation,markdown,3,strikethrough,null
484,punctuation,punctuation,0,null,definition
485,punctuation,definition,1,punctuation,string
486,punctuation,string,2,definition,begin
487,punctuation,begin,3,string,markdown
488,punctuation,markdown,4,begin,null
489,punctuation,punctuation,0,null,definition
490,punctuation,definition,1,punctuation,string
491,punctuation,string,2,definition,end
492,punctuation,end,3,string,markdown
493,punctuation,markdown,4,end,null
494,punctuation,punctuation,0,null,definition
495,punctuation,definition,1,punctuation,table
496,punctuation,table,2,definition,markdown
497,punctuation,markdown,3,table,null
498,punctuation,punctuation,0,null,definition
499,punctuation,definition,1,punctuation,tag
500,punctuation,tag,2,definition,begin
501,punctuation,begin,3,tag,html
502,punctuation,html,4,begin,null
503,punctuation,punctuation,0,null,definition
504,punctuation,definition,1,punctuation,tag
505,punctuation,tag,2,definition,end
506,punctuation,end,3,tag,html
507,punctuation,html,4,end,null
508,punctuation,punctuation,0,null,separator
509,punctuation,separator,1,punctuation,key-value
510,punctuation,key-value,2,separator,markdown
511,punctuation,markdown,3,key-value,null
512,punctuation,punctuation,0,null,separator
513,punctuation,separator,1,punctuation,table
514,punctuation,table,2,separator,markdown
515,punctuation,markdown,3,table,null
516,source,source,0,null,cpp
517,source,cpp,1,source,null
518,string,string,0,null,other
519,string,other,1,string,link
520,string,link,2,other,description
521,string,description,3,link,markdown
522,string,markdown,4,description,null
523,string,string,0,null,other
524,string,other,1,string,link
525,string,link,2,other,description
526,string,description,3,link,title
527,string,title,4,description,markdown
528,string,markdown,5,title,null
529,string,string,0,null,other
530,string,other,1,string,link
531,string,link,2,other,title
532,string,title,3,link,markdown
533,string,markdown,4,title,null
