id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,json
3,comment,json,3,documentation,lines
4,comment,lines,4,json,null
5,comment,comment,0,null,block
6,comment,block,1,comment,json
7,comment,json,2,block,lines
8,comment,lines,3,json,null
9,comment,comment,0,null,line
10,comment,line,1,comment,double-slash
11,comment,double-slash,2,line,js
12,comment,js,3,double-slash,null
13,constant,constant,0,null,character
14,constant,character,1,constant,escape
15,constant,escape,2,character,json
16,constant,json,3,escape,lines
17,constant,lines,4,json,null
18,constant,constant,0,null,language
19,constant,language,1,constant,json
20,constant,json,2,language,lines
21,constant,lines,3,json,null
22,constant,constant,0,null,numeric
23,constant,numeric,1,constant,json
24,constant,json,2,numeric,lines
25,constant,lines,3,json,null
26,invalid,invalid,0,null,illegal
27,invalid,illegal,1,invalid,expected-array-separator
28,invalid,expected-array-separator,2,illegal,json
29,invalid,json,3,expected-array-separator,lines
30,invalid,lines,4,json,null
31,invalid,invalid,0,null,illegal
32,invalid,illegal,1,invalid,expected-dictionary-separator
33,invalid,expected-dictionary-separator,2,illegal,json
34,invalid,json,3,expected-dictionary-separator,lines
35,invalid,lines,4,json,null
36,invalid,invalid,0,null,illegal
37,invalid,illegal,1,invalid,unrecognized-string-escape
38,invalid,unrecognized-string-escape,2,illegal,json
39,invalid,json,3,unrecognized-string-escape,lines
40,invalid,lines,4,json,null
41,meta,meta,0,null,structure
42,meta,structure,1,meta,array
43,meta,array,2,structure,json
44,meta,json,3,array,lines
45,meta,lines,4,json,null
46,meta,meta,0,null,structure
47,meta,structure,1,meta,dictionary
48,meta,dictionary,2,structure,json
49,meta,json,3,dictionary,lines
50,meta,lines,4,json,null
51,meta,meta,0,null,structure
52,meta,structure,1,meta,dictionary
53,meta,dictionary,2,structure,value
54,meta,value,3,dictionary,json
55,meta,json,4,value,lines
56,meta,lines,5,json,null
57,punctuation,punctuation,0,null,definition
58,punctuation,definition,1,punctuation,array
59,punctuation,array,2,definition,begin
60,punctuation,begin,3,array,json
61,punctuation,json,4,begin,lines
62,punctuation,lines,5,json,null
63,punctuation,punctuation,0,null,definition
64,punctuation,definition,1,punctuation,array
65,punctuation,array,2,definition,end
66,punctuation,end,3,array,json
67,punctuation,json,4,end,lines
68,punctuation,lines,5,json,null
69,punctuation,punctuation,0,null,definition
70,punctuation,definition,1,punctuation,comment
71,punctuation,comment,2,definition,json
72,punctuation,json,3,comment,lines
73,punctuation,lines,4,json,null
74,punctuation,punctuation,0,null,definition
75,punctuation,definition,1,punctuation,dictionary
76,punctuation,dictionary,2,definition,begin
77,punctuation,begin,3,dictionary,json
78,punctuation,json,4,begin,lines
79,punctuation,lines,5,json,null
80,punctuation,punctuation,0,null,definition
81,punctuation,definition,1,punctuation,dictionary
82,punctuation,dictionary,2,definition,end
83,punctuation,end,3,dictionary,json
84,punctuation,json,4,end,lines
85,punctuation,lines,5,json,null
86,punctuation,punctuation,0,null,definition
87,punctuation,definition,1,punctuation,string
88,punctuation,string,2,definition,begin
89,punctuation,begin,3,string,json
90,punctuation,json,4,begin,lines
91,punctuation,lines,5,json,null
92,punctuation,punctuation,0,null,definition
93,punctuation,definition,1,punctuation,string
94,punctuation,string,2,definition,end
95,punctuation,end,3,string,json
96,punctuation,json,4,end,lines
97,punctuation,lines,5,json,null
98,punctuation,punctuation,0,null,separator
99,punctuation,separator,1,punctuation,array
100,punctuation,array,2,separator,json
101,punctuation,json,3,array,lines
102,punctuation,lines,4,json,null
103,punctuation,punctuation,0,null,separator
104,punctuation,separator,1,punctuation,dictionary
105,punctuation,dictionary,2,separator,key-value
106,punctuation,key-value,3,dictionary,json
107,punctuation,json,4,key-value,lines
108,punctuation,lines,5,json,null
109,punctuation,punctuation,0,null,separator
110,punctuation,separator,1,punctuation,dictionary
111,punctuation,dictionary,2,separator,pair
112,punctuation,pair,3,dictionary,json
113,punctuation,json,4,pair,lines
114,punctuation,lines,5,json,null
115,punctuation,punctuation,0,null,support
116,punctuation,support,1,punctuation,type
117,punctuation,type,2,support,property-name
118,punctuation,property-name,3,type,begin
119,punctuation,begin,4,property-name,json
120,punctuation,json,5,begin,lines
121,punctuation,lines,6,json,null
122,punctuation,punctuation,0,null,support
123,punctuation,support,1,punctuation,type
124,punctuation,type,2,support,property-name
125,punctuation,property-name,3,type,end
126,punctuation,end,4,property-name,json
127,punctuation,json,5,end,lines
128,punctuation,lines,6,json,null
129,string,string,0,null,json
130,string,json,1,string,lines
131,string,lines,2,json,null
132,string,string,0,null,quoted
133,string,quoted,1,string,double
134,string,double,2,quoted,json
135,string,json,3,double,lines
136,string,lines,4,json,null
137,support,support,0,null,type
138,support,type,1,support,property-name
139,support,property-name,2,type,json
140,support,json,3,property-name,lines
141,support,lines,4,json,null
