id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,git-rebase
3,comment,git-rebase,3,number-sign,null
4,constant,constant,0,null,sha
5,constant,sha,1,constant,git-rebase
6,constant,git-rebase,2,sha,null
7,meta,meta,0,null,commit-command
8,meta,commit-command,1,meta,git-rebase
9,meta,git-rebase,2,commit-command,null
10,meta,meta,0,null,commit-message
11,meta,commit-message,1,meta,git-rebase
12,meta,git-rebase,2,commit-message,null
13,punctuation,punctuation,0,null,definition
14,punctuation,definition,1,punctuation,comment
15,punctuation,comment,2,definition,git-rebase
16,punctuation,git-rebase,3,comment,null
17,support,support,0,null,function
18,support,function,1,support,git-rebase
19,support,git-rebase,2,function,null
